0.987359,1005.27,49.3772,10.1787,24.4376,1
1.99315,1007.44,50.0629,10.0505,18.0702,1
2.01645,1205.93,65.1169,0.617484,199.093,2
2.99151,1000.4,50.9561,9.83419,18.6515,1
3.00779,1400.27,89.4323,100.19,348.62,3
3.99918,999.419,50.7736,10.1551,12.0161,1
4.01886,1208.9,60.8597,0.978842,196.765,2
4.983,992.19,51.7914,10.0935,18.6788,1
5.06893,1601.52,30.7335,5.02119,50.786,4
6.00416,987.803,50.6425,9.93747,16.0833,1
5.99607,1206.43,59.1195,0.919235,192.725,2
6.00201,1392.28,89.7786,100.023,355.769,3
7.01004,995.113,52.3941,10.4214,11.5155,1
7.99551,1010.55,52.4525,10.0025,10.526,1
8.00824,1213.39,60.5714,0.717309,197.034,2
8.99873,1002.7,50.7336,10.1728,14.039,1
9.0136,1404.7,89.8016,99.8272,351.564,3
10.0014,1006.19,48.1455,9.96672,17.6425,1
9.98555,1214.89,59.1822,0.877468,198.802,2
9.61163,1604.87,33.0817,4.96158,41.6113,4
10.9978,995.636,54.1448,9.76989,21.9585,1
12.0086,988.602,49.2433,9.82575,22.0687,1
12.003,1186.05,59.3388,1.0406,199.024,2
11.9601,1407.66,88.9313,100.108,351.71,3
12.9971,1010.22,50.7821,9.93969,17.2352,1
13.0879,1786.86,68.812,50.1605,249.011,5
14.0038,1002.9,51.4892,10.0303,15.0272,1
14.0043,1198.79,59.3966,1.11065,182.574,2
14.9895,989.837,54.5946,9.76272,17.0516,1
15.0031,1396.31,88.3829,100.01,358.582,3
15.441,1599.4,32.1692,4.93906,43.8318,4
16.016,1002.78,48.8114,9.91919,22.6456,1
16.0006,1191.34,64.3253,1.12861,197.423,2
16.9943,999.88,47.6968,9.80589,22.9202,1
17.9845,1005.9,51.8075,9.57561,24.0337,1
18.016,1200.82,60.3074,1.03075,204.524,2
18.0104,1406.49,88.7017,99.948,358.392,3
18.997,1001.49,48.3103,10.5869,11.2658,1
19.995,1004.26,48.9124,9.93566,19.2663,1
19.9745,1200.49,59.434,1.03876,193.467,2
20.0374,1606.93,31.2695,5.05245,43.9841,4
21.0068,992.897,50.6161,10.0602,23.1488,1
